Date,Clicks,Impressions,CTR,Position
2024-08-03,5,63,7.94%,11.97
2024-08-02,3,67,4.48%,11.99
2024-08-01,3,55,5.45%,8.69
2024-07-31,2,50,4%,14.36
2024-07-30,3,60,5%,11.12
2024-07-29,5,41,12.2%,19.76
2024-07-28,3,43,6.98%,12.49
2024-07-27,1,41,2.44%,18.1
2024-07-26,4,43,9.3%,15.37
2024-07-25,1,40,2.5%,13.47
2024-07-24,2,38,5.26%,15
2024-07-23,4,43,9.3%,21.74
2024-07-22,3,55,5.45%,12.98
2024-07-21,7,55,12.73%,15.78
2024-07-20,3,38,7.89%,12.82
2024-07-19,2,38,5.26%,24.18
2024-07-18,4,53,7.55%,19.47
2024-07-17,1,59,1.69%,24.66
2024-07-16,3,60,5%,18.22
2024-07-15,5,54,9.26%,22.35
2024-07-14,8,57,14.04%,10.98
2024-07-13,6,32,18.75%,14.62
2024-07-12,3,49,6.12%,11.51
2024-07-11,4,38,10.53%,7.76
2024-07-10,4,33,12.12%,7.42
2024-07-09,8,71,11.27%,17.61
2024-07-08,7,31,22.58%,14.84
2024-07-07,8,36,22.22%,12.22
