Top pages,Clicks,Impressions,CTR,Position
https://tdsenduroalgarve.com/,36,552,6.52%,19.64
http://tdsenduroalgarve.com/,35,614,5.7%,7.03
https://www.tdsenduroalgarve.com/,24,218,11.01%,16.12
https://www.tdsenduroalgarve.com/tours/off-road-enduro-bike-rental,6,40,15%,7.85
https://www.tdsenduroalgarve.com/pt,4,61,6.56%,23.39
https://tdsenduroalgarve.com/rentals/ktm-300-exc,4,28,14.29%,11.75
https://tdsenduroalgarve.com/bikes/ktm-exc-300,3,51,5.88%,26.55
https://www.tdsenduroalgarve.com/tours,3,31,9.68%,8.77
https://tdsenduroalgarve.com/tours,3,29,10.34%,25.31
https://tdsenduroalgarve.com/bikes,3,28,10.71%,2.57
https://tdsenduroalgarve.com/reserve,2,22,9.09%,2.91
https://tdsenduroalgarve.com/reserve/rent,2,21,9.52%,11.76
https://tdsenduroalgarve.com/bikes/ktm-duke-125,2,6,33.33%,19.67
https://tdsenduroalgarve.com/bikes/ktm-300-exc,1,67,1.49%,17.54
https://tdsenduroalgarve.com/about-tour,1,28,3.57%,19.54
http://tdsenduroalgarve.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2455377556146629817,1,21,4.76%,8.67
https://tdsenduroalgarve.com/rentals/ktm-790-adv,1,13,7.69%,10.23
https://www.tdsenduroalgarve.com/about-tour,1,12,8.33%,9.33
https://tdsenduroalgarve.com/bikes/gasgas-700-es,1,11,9.09%,18.55
https://tdsenduroalgarve.com/bikes/ktm-790-adv,1,10,10%,19.3
https://tdsenduroalgarve.com/tours/enduro-intermediate,1,6,16.67%,5.33
https://www.tdsenduroalgarve.com/reserve,1,6,16.67%,9.83
https://tdsenduroalgarve.com/tours/enduro-advanced,0,9,0%,6.67
https://tdsenduroalgarve.com/tours/enduro-beginner,0,3,0%,4.67
https://tdsenduroalgarve.com/reserve/rent?bike=ktm-300-exc,0,2,0%,13.5
